,date,hr_count,hr_mean,hr_std,hr_min,hr_25%,hr_50%,hr_75%,hr_max,x_count,x_mean,x_std,x_min,x_25%,x_50%,x_75%,x_max,y_mean,y_std,y_min,y_25%,y_50%,y_75%,y_max,z_mean,z_std,z_min,z_25%,z_50%,z_75%,z_max,Unnamed: 0,subject_id,Q1,Q2,Q3,S1,S2,S3,S4
0,2020-08-31,410.0,66.41270731707314,11.804190513517158,49.52,58.48,62.510000000000005,71.91,126.27,510.0,0.3573384764247061,2.644432942499038,-20.313028,-0.6105401,-0.125699425,0.12450229,27.922033,3.5059882388227503,4.45785322485265,-21.543684,-0.09277815125,1.00559535,7.95437955,35.059364,6.3348474066392075,5.779839918376188,-78.26166,2.94615525,9.636956000000001,9.73991,10.618608,52,user03,0,0,0,0,0,1,1
1,2020-09-03,281.0,80.52256227758006,13.044679998697898,49.0,72.0,77.87,85.9,157.03,426.0,0.1223384555488264,1.3674664685107287,-6.177229,-0.10774237,-0.062251143,0.1478464725,10.008069,1.8215991217431944,3.284840183983506,-9.29218,-0.05985687,-0.031125572,3.673416075,9.8237095,8.603360040187782,2.3397588768410684,-1.6688095,8.840261,9.744699,9.763853,10.8700075,53,user03,0,1,0,0,0,1,1
2,2020-09-04,147.0,78.48333333333335,6.6883778090726125,62.33,75.3,79.43,83.14,94.37,446.0,0.8189117811031396,2.6541467720933842,-6.2251143,-0.45970075499999996,-0.0562654575,0.9828498250000001,9.883567,3.80071799647085,4.357494737584474,-6.2706056,-0.013767080249999999,0.6380742500000001,8.59604525,9.814133,5.792754634529145,4.6187866768911965,-10.522838,2.9665065,7.5467542000000005,9.742304,11.583502,54,user03,0,0,0,1,1,1,0
3,2020-09-06,390.0,70.02543589743581,10.52839476554085,52.53,62.185,67.71,76.345,114.6,655.0,0.2666856633661074,2.672794014031096,-9.6585045,-0.76616795,-0.06464542,0.7326481,9.172467,3.9802387711716003,3.9145595572236975,-3.162837,-0.031125572,4.12773,8.290176500000001,9.857229,5.609007272315113,5.062062603887422,-9.8548355,1.8064803500000002,8.466156,9.70639,10.599455,55,user03,0,0,1,0,1,1,0
4,2020-09-14,722.0,92.6801108033241,22.414052909060732,54.52,76.085,86.025,108.0275,173.42,1259.0,0.37769067488451186,1.646802117335405,-14.0567875,-0.13048797,0.21548474,0.84996754,9.692024,1.7521698669391572,3.8774255526819394,-12.598674,-0.1699935,-0.038308397,4.50003955,10.570724,7.641433590222889,4.08333650862689,-9.974549,7.3384523,9.672871,9.701602,15.660952,58,user03,1,1,0,1,1,1,1
5,2020-09-15,671.0,88.97208643815196,19.603231293152056,59.95,76.28999999999999,84.7,99.68,188.13,813.0,-0.4535545710270596,2.9172792228638045,-14.540431,-0.20351335,0.019154198,0.1340794,10.38397,1.4478883644115632,4.08472601462518,-11.528433,-0.15083931,0.045491222,0.409421,12.4622,7.017613587563325,4.539515072509676,-13.352871,4.8938975,9.70639,9.72315,13.752714,59,user03,0,0,0,0,1,1,0
6,2020-09-17,579.0,86.28181347150274,18.043896810377596,52.38,74.755,80.35,91.125,168.15,664.0,0.26785228547138445,2.3059937363197167,-17.308212,-0.16041641,-0.098165266,0.035914123,11.11183,1.0586913329186762,2.8820632298182423,-10.381576,-0.041301238750000004,0.0670397,0.30646718,11.109435,8.459971728801804,3.138827645470492,-7.24747,9.680053,9.708784,9.720756,10.807756,60,user03,1,0,0,0,1,1,0
7,2020-09-21,675.0,88.42109629629628,23.248956397520274,53.92,72.185,80.58,100.13499999999999,184.67,833.0,-0.7220793709243672,1.950850416013131,-7.680834,-1.1253091,-0.031125572,0.098165266,7.814913,2.360053640981273,3.4209367349008195,-2.0973847,-0.12450229,0.6751855,4.9609375,10.254679,7.762563709831922,3.1736275337455147,-7.434223,7.7909703,9.213169,9.577099,11.858843,61,user03,1,1,1,0,1,1,0
8,2020-09-22,807.0,87.96977695167278,18.260031627492765,58.67,76.0,82.52,96.12,176.93,1163.0,-0.13577370440619094,2.387890561681896,-17.868473,-0.0550683215,0.043096945,0.31125572,12.953027,-0.036704658315563035,3.445034802198653,-15.739963,-0.38787252,-0.0023942748,0.30646718,10.13736,7.809978267214091,4.364550231833917,-9.644139,8.939025,9.577099,9.77343,14.844503,62,user03,1,1,0,0,1,1,1
9,2020-09-23,644.0,82.18527950310559,13.95902214697264,61.52,72.65,78.15,87.89750000000001,156.1,713.0,-0.5332684614084153,3.013542422486828,-15.206039,-0.339987,-0.05506832,0.05506832,12.340093,0.592735803508555,2.666839200489205,-10.774237,0.023942748,0.2561874,0.37590113,9.613013,8.180991888701252,3.6145629227419334,-11.698426,9.4095,9.742304,9.761458,12.917112,63,user03,1,0,0,0,1,1,1
10,2020-09-24,848.0,84.51362028301887,18.52581921403316,57.77,70.97,78.83500000000001,92.1975,166.23,1274.0,-0.12197270199576139,2.0832828710712588,-18.16297,-0.083201047,0.035914123,0.37829542,9.067119,0.3737944065634223,3.0388361305466405,-13.45343,-0.679974,-0.06943397,0.1699935,10.683254,8.194578437464665,3.7873299801025313,-9.98652,9.42087275,9.560339,9.70639,12.708811,64,user03,1,1,0,0,1,0,1
